file,wall_main,wall_basement,wall_pony,wall_basement_header,wall_crawl,wall_crawl_header,F,D,FD,W,FDWR
HTAP-sim-1\227NN01552.h2k,220.599,4.533,45.338,11.334,0.000,0.000,42.704,5.203,47.907,281.804,0.170
HTAP-sim-1\file-postsub.h2k,220.599,4.533,45.338,11.334,0.000,0.000,42.704,5.203,47.907,281.804,0.170
HTAP-sim-1\file-presub.h2k,220.599,4.534,45.338,11.334,0.000,0.000,30.658,5.203,35.861,281.805,0.127
HTAP-sim-1\run_file_file_1.h2k,220.599,4.533,45.338,11.334,0.000,0.000,42.704,5.203,47.907,281.804,0.170
HTAP-sim-10\BC-Step-Quad-mkt.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
HTAP-sim-10\file-postsub.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
HTAP-sim-10\file-presub.h2k,438.371,5.621,61.827,11.016,0.000,0.000,76.651,37.781,114.432,516.835,0.221
HTAP-sim-10\run_file_file_1.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
HTAP-sim-11\BC-Step-rev-LargeSFD.h2k,442.004,14.099,50.517,0.000,0.000,0.000,78.507,7.618,86.125,506.620,0.170
HTAP-sim-11\file-postsub.h2k,442.004,14.099,50.517,0.000,0.000,0.000,78.507,7.618,86.125,506.620,0.170
HTAP-sim-11\file-presub.h2k,442.004,14.099,50.517,0.000,0.000,0.000,66.751,7.618,74.369,506.620,0.147
HTAP-sim-11\run_file_file_1.h2k,442.004,14.099,50.517,0.000,0.000,0.000,78.507,7.618,86.125,506.620,0.170
HTAP-sim-12\BC-Step-rev-MediumSFD.h2k,204.524,6.550,23.467,0.000,0.000,0.000,36.063,3.809,39.872,234.542,0.170
HTAP-sim-12\file-postsub.h2k,204.524,6.550,23.467,0.000,0.000,0.000,36.063,3.809,39.872,234.542,0.170
HTAP-sim-12\file-presub.h2k,204.524,6.550,23.467,0.000,0.000,0.000,30.937,3.809,34.746,234.542,0.148
HTAP-sim-12\run_file_file_1.h2k,204.524,6.550,23.467,0.000,0.000,0.000,36.063,3.809,39.872,234.542,0.170
HTAP-sim-13\BC-Step-rev-Murb1.h2k,865.731,3.346,40.146,6.585,0.000,0.000,172.706,28.772,201.478,915.808,0.220
HTAP-sim-13\file-postsub.h2k,865.731,0.000,0.000,6.585,0.000,0.000,172.706,28.772,201.478,872.316,0.231
HTAP-sim-13\file-presub.h2k,865.731,3.346,40.146,6.585,0.000,0.000,234.394,28.772,263.166,915.808,0.287
HTAP-sim-13\run_file_file_1.h2k,865.731,3.346,40.146,6.585,0.000,0.000,172.706,28.772,201.478,915.808,0.220
